ID,Phase,Module,Title,Word_Spec,Citation_Need,Citation_Status,Depends_On,Acceptance,Status,Notes
P1,准备,选题分析,生成候选标题并验证选题,n/a,no,n/a,,候选标题+选题评估均产出,TODO,基于领域/成果/方向；可用已发表文献佐证
P2,准备,中文摘要撰写,中文摘要,<400字单段,no,n/a,P1,单段且<400字，含背景/目标/方法/成果/意义,TODO,
P3,准备,摘要翻译,英文摘要,n/a,no,n/a,P2,忠实清晰流畅；调整有内部说明,TODO,英文忠实于中文原文
P4,准备,研究基础和工作条件,四步整合成文,n/a,no,n/a,,项目类别/年限/研究基础/工作条件四步齐备,TODO,需用户上传必要数据；结果汇置正文末尾Z2
L1,立项依据,模块7 研究意义,研究意义,<500字,yes,pending,,先检索近10年文献；含文内引用且<500字,TODO,强调学术/社会/国家需求
L2,立项依据,模块8 研究现状,国内外研究现状及发展动态,2500-3000字,yes,pending,,先检索；≥20条参考文献；覆盖现状/难点/趋势,TODO,以数据事实为依据
L3,立项依据,模块9 研究假设,研究假设,400-500字,yes,pending,L1;L2,先检索；单段400-500字；逻辑严谨基于证据,TODO,参考标题/研究基础/研究现状
L4,立项依据,模块10 生成立项依据,合并立项依据,n/a,yes,pending,L1;L2;L3,按意义→现状→假设顺序合并；不新增重复,TODO,仅合并衔接，保持引用一致
C1,内容目标问题,模块11 研究内容,研究内容,900-1000字,no,n/a,L4,分方向小标题；逻辑清晰可操作,TODO,
C2,内容目标问题,模块12 研究目标,研究目标,250-350字,no,n/a,L4,分点；不写方法；具体可操作,TODO,
C3,内容目标问题,模块13 关键科学问题,关键科学问题,450-550字,no,n/a,L4,≤3条；每条独立完整；按重要性排序,TODO,
S1,方案可行性,模块14 研究方案,拟采取的研究方案,1700-1900字,yes,pending,C1;C2;C3,方法/技术/步骤可复现；引用权威来源,TODO,
S2,方案可行性,模块15 技术路线,技术路线流程图,n/a,no,n/a,S1,流程图形式；实验流程→方法→工具→总目标,TODO,以可渲染流程图(如Mermaid)输出
S3,方案可行性,模块19 可行性分析,可行性分析,950-1150字,no,n/a,S1,理论/技术方法/人员/硬件四维度；证据充分,TODO,排技术路线之后、特色创新之前
F1,特色创新,模块16 特色与创新,本项目特色与创新之处,450-550字,no,n/a,S1,≤3条；每条独立完整；避免不相关信息,TODO,
Y1,计划结果,模块17 年度研究计划,年度研究计划,450-550字,no,n/a,C1,逐年；每年目标+任务分解；逻辑严密,TODO,
Y2,计划结果,模块18 预期研究结果,预期研究结果,50-100字,no,n/a,Y1,量化预测论文/专利/会议/研究生培养,TODO,基于同类项目趋势
Z1,收尾,参考文献,全文统一参考文献列表,n/a,yes,pending,L1;L2;L3;S1,所有需文献任务均verified；文末统一输出一次,TODO,均来自检索工具真实结果，不编造
Z2,收尾,研究基础与工作条件,汇置准备阶段结果于正文末尾,n/a,no,n/a,P4,P4结果汇置；不重复撰写,TODO,
